Unique_ID,Patient_BSN,Age,Gender,Medical_Department,Length_of_Stay,Admission_Day,Admission_Month,Admission_Hour,Day_of_Week,Diagnosis_Code,Treatment_Cost,Height_cm,Weight_kg,BMI,Previous_Admissions_Count,Insurance_Level,Systolic_BP,Diastolic_BP,Heart_Rate,Temperature_C,Respiratory_Rate,Oxygen_Saturation,Blood_Glucose,Cholesterol_Total,Cholesterol_LDL,Cholesterol_HDL,Hemoglobin,White_Blood_Cell_Count,Platelet_Count,Creatinine_Level,Liver_Enzyme_ALT,Medication_Count,Lab_Test_Count,Imaging_Study_Count,Surgery_Count,ICU_Days,Physical_Therapy_Sessions,Rehabilitation_Sessions,Pain_Score_Admission,Pain_Score_Discharge,Complication_Score,Readmission_Risk_Score,Treatment_Success_Score,Patient_Satisfaction,Staff_Satisfaction,Blood_Transfusion_Units,Number_of_Visitors,Follow_up_Appointments,Room_Type,Waiting_Time_Minutes,ER_Time_Minutes,Emergency_Level,ICU_Need,PT_Need,Transfusion_Need
11,621430,74,1,3,3,6,3,23,2,3,5406,174,54,30,0,2,127,73,59,35,13,95,97,220,108,44,13,8690,343096,1,10,7,5,2,0,5,3,0,5,4,2,69,88,55,68,2,0,0,3,30,64,1,0,1,0
12,187498,77,1,1,6,12,12,19,3,6,6505,186,51,27,0,1,145,83,80,37,16,98,79,181,78,49,11,6972,284060,0,21,0,1,1,2,0,0,0,7,4,1,43,87,100,55,0,1,2,1,43,65,3,0,1,1
13,999159,59,1,4,1,7,11,17,5,3,4001,180,78,20,0,3,124,70,80,37,14,94,100,161,57,54,17,6628,220829,1,27,1,5,0,2,3,0,1,8,7,1,49,87,94,78,0,6,2,2,34,38,1,0,1,1
14,275203,64,1,4,2,27,11,1,6,6,8361,170,66,15,1,2,108,62,72,36,16,95,122,197,137,55,17,4266,263458,2,26,6,4,2,2,1,0,3,5,3,2,46,91,75,81,0,1,0,3,41,67,2,1,1,1
15,291335,66,0,4,4,11,1,21,3,1,4467,194,73,24,0,4,123,93,80,36,21,96,85,184,120,53,13,6802,196899,2,20,1,8,1,1,3,2,1,5,4,1,51,84,61,78,1,2,0,3,14,103,4,0,1,1
16,378167,49,1,1,4,2,11,0,4,1,9908,177,54,18,1,1,123,76,91,37,15,95,86,160,130,51,15,6512,202752,0,17,4,0,1,2,3,2,2,3,0,1,0,80,78,62,1,1,1,2,65,70,2,1,0,0
17,141090,42,0,2,1,25,4,6,7,2,7746,165,77,30,2,1,107,88,80,36,14,99,92,165,117,23,14,4436,262421,2,10,2,6,0,2,0,0,1,9,7,1,44,76,81,85,1,1,2,1,5,68,1,0,0,0
18,429365,55,1,5,5,16,9,15,5,4,5164,171,66,26,2,3,118,79,82,37,18,96,84,157,116,59,15,5688,160651,0,18,0,1,1,1,0,1,1,6,6,1,24,71,85,98,0,0,2,3,36,81,1,0,0,1
19,164820,57,1,3,5,30,2,17,3,4,4905,182,84,25,0,1,145,70,75,38,15,95,83,179,145,62,17,8190,169133,0,17,3,10,0,0,0,3,2,6,4,2,37,89,63,81,0,2,3,1,21,17,2,0,0,1
20,887201,65,1,1,5,24,6,18,7,2,4958,161,85,26,0,1,101,60,66,39,10,92,140,114,150,54,15,7247,315899,1,40,2,2,3,3,1,0,0,9,7,2,81,94,60,59,0,1,0,2,22,57,1,0,0,0
21,421879,56,0,2,2,6,12,7,7,6,504,159,71,31,2,3,94,88,71,36,15,97,144,186,91,48,15,7452,287063,1,19,4,2,2,0,2,1,1,9,6,3,42,49,80,91,0,4,2,2,45,52,2,0,1,0
22,818315,59,1,4,8,29,12,19,4,5,5181,171,63,26,0,3,145,83,83,37,14,96,94,146,122,61,14,8461,247067,0,24,2,5,0,1,1,0,0,4,3,3,41,80,88,96,0,0,1,2,16,58,1,0,0,1
23,427069,79,1,3,6,5,4,2,6,5,8403,162,78,26,1,4,139,86,82,37,12,96,98,143,68,32,14,8615,267828,2,28,1,3,0,1,0,0,1,5,4,1,24,100,72,27,2,2,1,1,5,102,3,0,0,0
24,876997,60,0,4,4,7,10,1,7,3,7509,158,66,24,3,1,137,83,79,38,12,96,112,161,99,47,14,7532,278532,1,22,7,5,2,0,5,1,2,3,1,2,49,93,34,80,0,3,1,1,42,39,2,1,1,0
25,299041,83,1,3,10,12,3,5,7,2,6654,169,60,30,2,3,143,95,83,35,15,96,73,212,128,49,11,5714,273088,1,19,3,6,2,1,4,3,2,5,2,0,61,64,74,87,1,1,1,2,0,64,3,0,1,1
26,891743,57,1,5,8,14,3,10,6,2,3974,178,89,26,0,1,104,79,63,37,14,95,91,186,132,30,11,8803,251947,2,22,0,9,2,0,0,1,0,5,3,2,40,100,90,100,0,2,1,2,41,64,2,0,1,0
27,203355,36,0,3,3,13,11,4,7,2,4518,179,103,20,1,3,119,77,85,35,17,96,72,166,106,54,13,8595,314764,1,36,2,2,2,0,2,3,0,4,1,1,66,64,34,54,1,4,3,2,29,51,2,1,0,0
28,335796,51,1,1,1,16,6,19,3,2,7657,166,97,31,1,4,135,88,75,35,15,97,130,183,127,52,18,5502,216649,0,23,5,7,2,0,4,0,1,6,5,3,17,89,63,74,0,4,2,2,22,27,2,1,1,1
29,314176,63,1,1,5,11,1,2,7,3,2229,163,70,27,1,3,154,71,76,38,10,97,83,198,137,50,13,4820,112122,1,26,4,6,1,0,0,4,2,1,0,2,39,100,53,73,1,3,1,1,31,110,1,1,0,0
30,284779,63,0,5,3,21,6,14,3,6,2704,173,70,23,2,1,109,92,82,36,11,100,93,105,111,33,15,7964,282905,1,32,0,4,1,0,0,0,1,8,5,1,68,67,67,92,0,3,2,1,14,41,1,0,0,1
31,447449,64,1,5,1,14,3,1,1,2,4717,150,61,26,0,4,134,89,71,37,14,92,60,194,76,43,12,7109,184789,1,38,4,8,1,0,0,4,2,2,0,2,64,100,82,61,0,1,3,2,41,79,2,0,1,0
32,521909,70,1,4,4,6,11,22,5,3,6855,163,70,26,0,1,133,81,66,38,18,96,113,234,99,51,15,5927,258573,0,14,4,2,0,1,0,2,1,7,6,3,56,61,67,70,3,4,3,3,9,95,2,0,0,0
33,358795,66,0,1,4,24,11,6,4,1,3217,183,81,19,0,1,125,86,70,37,16,100,90,214,125,47,16,7138,257952,2,26,3,4,2,1,0,1,0,4,2,1,46,85,57,85,0,3,2,1,40,49,3,0,1,1
34,586232,55,1,3,1,27,4,15,3,5,2472,161,72,27,1,3,97,67,92,37,10,98,94,179,105,49,13,5882,243169,1,23,0,3,2,1,1,4,1,7,7,0,42,59,53,88,0,6,3,3,64,106,4,1,0,1
35,600186,56,1,5,5,29,11,18,4,1,4825,158,94,27,1,1,107,91,83,35,17,94,118,119,123,41,16,7854,292486,0,29,0,3,2,2,0,3,2,2,1,2,67,61,100,71,0,3,3,2,25,71,1,0,0,0
36,256730,53,1,1,3,16,11,15,5,1,5256,195,52,24,1,4,139,79,61,36,19,93,139,171,125,46,16,6877,230612,1,34,7,4,2,0,3,0,1,5,4,0,60,71,98,62,1,2,1,2,30,41,1,1,1,1
37,970910,71,1,4,7,8,10,13,4,6,5942,170,89,20,1,3,132,90,78,37,16,97,126,166,128,69,13,8136,340257,1,50,1,5,3,0,0,2,0,5,3,3,85,50,48,86,1,3,1,2,18,15,1,0,0,0
38,484681,61,0,5,8,9,6,14,3,6,2643,170,75,20,0,3,90,91,75,35,15,93,105,212,93,30,10,7645,192139,2,32,0,6,0,0,0,6,0,6,6,2,72,62,66,93,1,1,0,2,19,44,1,0,0,1
39,249503,59,1,4,6,2,4,18,3,6,5322,183,80,17,0,2,141,71,79,35,19,97,81,164,118,28,12,5167,240164,0,12,1,5,2,0,0,3,0,6,6,0,55,73,28,84,1,1,1,2,58,56,1,0,0,0
40,754811,45,1,1,5,2,8,8,1,6,8295,174,83,30,2,2,90,66,67,37,14,95,93,228,115,52,16,7433,222659,0,31,3,5,2,2,0,6,0,5,3,3,30,74,74,64,0,2,0,2,33,10,1,0,0,0
41,627035,68,1,4,7,14,8,1,2,1,4034,188,52,21,0,2,122,69,58,36,15,98,122,185,60,31,10,5613,193683,2,19,3,4,3,0,5,0,0,4,3,1,56,91,100,60,0,1,2,3,32,16,2,1,0,0
42,748143,46,1,2,1,24,12,13,7,4,5458,189,69,22,0,4,136,85,81,35,12,94,106,177,112,59,13,8361,284144,1,21,4,5,2,0,0,0,1,7,6,0,42,93,63,100,0,4,0,2,32,71,5,0,1,0
43,552366,53,0,3,6,18,3,9,7,3,4754,169,67,20,2,3,125,88,70,36,16,95,117,220,111,62,11,6662,205614,1,29,4,6,2,1,0,0,1,8,6,1,66,78,89,82,1,1,2,1,0,75,2,0,1,1
44,165725,56,1,5,2,13,8,19,1,3,6132,175,61,29,0,1,117,67,95,38,11,98,117,204,94,44,11,6003,340450,1,40,5,2,0,1,1,5,0,5,4,1,55,73,90,100,3,5,2,2,30,54,1,1,0,0
45,229981,44,1,1,3,30,5,8,4,5,4675,163,70,26,1,4,116,100,79,36,18,98,94,182,124,42,16,8024,269490,0,28,1,1,3,1,1,3,0,5,5,2,67,94,83,100,2,0,2,2,37,91,2,0,0,1
46,184654,49,1,3,4,17,6,21,1,2,6130,187,68,27,1,4,129,63,81,38,17,97,88,179,135,46,12,4229,240535,0,31,0,5,1,0,2,0,0,6,4,2,34,54,100,78,0,3,1,1,17,40,2,1,1,1
47,691723,56,0,3,1,17,11,1,1,1,5281,171,61,28,0,2,137,92,74,37,18,97,138,206,112,60,15,5555,212581,1,29,0,3,1,0,2,0,1,5,3,2,53,90,40,82,1,7,0,2,0,87,3,0,0,0
48,419030,48,0,1,4,18,9,16,1,5,4600,177,87,28,0,3,122,95,65,35,17,96,65,161,107,63,10,4453,254025,2,19,2,5,3,0,1,1,2,8,5,2,67,92,89,98,0,0,3,2,38,97,1,0,1,0
49,428947,71,1,3,3,11,2,17,1,2,5025,165,74,18,0,2,106,98,65,35,20,98,110,218,98,35,11,5570,237529,1,34,6,7,2,1,2,0,0,6,4,3,50,76,79,70,1,2,2,2,28,109,1,1,1,1
50,655839,68,1,4,4,4,3,23,2,6,5127,157,83,16,0,3,120,73,66,37,15,98,106,167,130,49,15,7735,294367,1,12,1,2,2,2,2,3,0,7,4,1,85,60,73,62,1,5,1,1,50,15,1,0,0,0
51,373538,56,0,3,7,23,4,23,5,3,5559,168,71,24,0,1,112,101,84,37,15,98,90,212,85,48,15,6541,281431,0,36,3,2,2,3,1,5,2,8,8,1,54,83,95,68,0,3,0,2,7,69,1,1,1,1
52,431236,54,1,5,3,15,5,12,7,5,8261,177,74,24,0,4,126,91,81,36,15,100,131,167,113,32,15,6753,300458,0,12,0,5,2,2,1,0,0,7,7,1,15,88,64,77,0,6,1,2,44,108,1,0,0,1
53,628178,49,1,4,9,28,12,16,7,1,4117,191,49,30,2,4,156,76,66,35,19,98,103,191,146,48,14,7567,184065,0,44,7,7,2,0,5,2,1,10,9,1,61,87,49,100,1,6,4,3,50,55,2,1,0,1
54,665894,56,1,2,3,19,2,21,1,3,6664,166,84,27,0,4,115,87,66,37,16,100,74,225,129,46,13,8281,247047,0,33,0,2,1,2,0,3,0,5,2,0,55,66,78,59,0,2,0,3,54,47,2,1,1,0
55,589492,62,1,1,7,11,1,13,3,6,4230,185,85,23,1,1,131,77,57,36,15,93,88,214,101,49,14,6630,305482,0,19,5,5,1,3,0,2,0,4,4,1,46,64,77,72,1,2,2,3,33,47,1,1,1,1
56,356840,51,1,2,9,8,8,6,1,6,5148,163,68,24,1,4,100,73,72,38,18,96,92,188,128,50,17,6274,259597,1,32,2,3,1,0,0,0,0,0,0,3,0,96,66,78,2,5,1,3,3,47,2,0,1,1
57,573254,68,1,3,4,14,12,12,2,6,5615,183,74,21,1,1,125,61,61,38,18,97,99,265,122,51,14,4128,227649,1,26,3,6,1,1,4,2,1,0,0,2,30,100,80,81,2,2,2,2,19,71,3,1,0,0
58,449457,54,0,1,6,17,2,21,6,6,8835,175,59,26,0,4,130,80,69,36,13,98,97,199,140,68,13,7542,206179,0,32,5,8,2,0,0,4,2,7,6,1,29,100,68,94,0,2,2,1,10,48,1,0,0,1
59,765987,67,1,5,6,8,7,3,6,1,3198,167,40,24,1,3,115,79,74,38,11,95,104,182,126,39,12,6263,260019,0,28,3,5,2,0,1,4,0,6,6,0,43,80,84,67,3,1,1,2,36,85,2,0,0,1
60,370936,58,0,5,3,20,9,13,3,2,1611,153,56,26,2,1,150,78,85,36,15,99,97,248,88,34,11,8520,243020,0,20,3,8,1,2,0,0,3,8,6,2,53,95,69,90,0,0,2,3,44,64,3,1,0,1
61,339931,56,0,4,9,14,7,19,3,6,4139,157,71,23,0,3,123,81,82,36,20,92,91,205,110,24,13,6114,269458,1,39,2,3,2,1,1,0,2,6,6,0,24,94,73,62,0,2,2,1,54,78,1,0,1,1
62,339629,56,0,4,1,10,7,8,3,6,5647,172,89,18,0,2,119,71,54,36,10,99,118,197,131,38,13,4000,181004,1,54,2,2,0,1,2,0,1,5,2,1,69,86,86,80,2,5,1,2,30,60,1,1,0,1
63,305041,55,1,2,1,26,2,2,1,6,6181,174,97,24,0,2,110,80,76,36,15,98,99,172,118,43,13,5636,164571,1,46,2,4,1,0,1,5,0,5,5,0,68,79,68,60,1,4,4,3,10,39,2,0,0,0
64,798361,47,1,1,5,17,1,0,3,3,2589,157,94,27,0,2,126,73,77,37,16,98,80,173,92,46,14,8423,242691,0,21,5,4,1,1,1,4,0,5,2,0,25,70,78,87,2,0,1,2,7,52,1,0,1,1
65,831912,79,1,1,4,3,12,15,6,2,5587,173,46,18,1,4,117,67,86,35,16,95,113,179,110,64,13,8982,166947,1,36,3,7,4,0,0,1,0,9,7,0,57,100,57,58,0,3,4,1,29,62,1,1,1,0
66,517113,72,0,2,10,7,8,4,1,1,5121,170,77,21,1,1,115,84,79,37,14,95,71,216,113,45,14,5423,257615,0,13,2,8,2,0,0,3,2,8,8,3,85,66,91,61,2,4,0,3,19,20,1,0,1,1
67,168148,54,0,2,3,15,3,22,4,3,5525,185,60,21,0,3,144,73,95,37,10,96,89,235,80,55,17,7644,192676,0,21,6,7,3,1,2,6,0,8,5,4,47,81,94,91,0,4,1,2,28,93,3,0,1,1
68,877089,38,1,2,1,19,9,6,5,4,10726,167,83,26,2,4,143,100,76,38,14,94,72,216,96,62,14,6675,241510,0,21,0,7,2,1,0,2,0,5,4,3,53,73,100,100,1,2,1,3,35,80,1,1,0,0
69,748531,54,1,1,4,15,6,15,3,5,6824,169,88,19,1,4,114,67,93,37,13,95,135,177,128,61,18,4522,188965,1,22,0,4,2,0,2,5,1,6,3,4,11,77,77,95,1,1,1,1,49,42,3,1,0,0
70,351995,66,0,4,3,6,1,1,5,4,5784,165,72,26,0,2,122,88,75,36,19,96,74,198,156,50,14,6831,181192,0,32,1,7,0,0,1,0,2,8,8,0,97,77,79,84,0,2,1,2,25,79,2,0,1,0
71,778843,64,1,2,7,9,1,20,3,3,5005,164,90,23,0,2,95,76,85,36,13,99,129,189,116,46,14,4000,240365,0,31,7,4,0,0,0,1,0,5,4,4,34,94,71,86,1,0,0,3,56,43,1,0,0,1
72,672843,76,0,5,2,5,1,8,2,2,5298,178,59,21,2,1,142,64,69,37,18,95,86,167,155,23,12,8185,200181,1,12,4,7,3,2,3,2,1,5,4,1,70,85,90,99,0,4,3,1,24,46,3,0,1,1
73,356508,47,1,5,1,10,10,15,2,2,3746,162,72,24,1,4,138,84,86,38,19,97,122,100,139,45,12,6711,182180,0,10,1,1,1,0,0,3,0,6,3,1,60,87,84,99,1,2,1,3,23,93,1,0,0,1
74,903591,46,0,3,11,29,11,13,4,3,6847,158,47,23,2,4,143,89,75,36,15,98,126,205,113,61,14,5088,165210,0,17,3,4,0,0,2,2,0,7,4,0,79,49,47,83,1,2,1,1,31,45,3,0,1,0
75,996942,68,1,2,2,8,7,10,6,2,1383,163,75,31,0,3,130,80,71,37,19,96,99,291,122,59,16,5346,218257,0,27,4,0,0,0,2,0,1,5,5,1,47,73,75,76,1,2,1,2,34,34,1,0,1,1
76,206530,55,0,2,1,14,1,0,6,6,6860,162,62,23,1,3,120,89,50,37,20,98,92,191,147,53,16,5149,268453,1,11,1,5,1,0,0,6,0,8,8,1,79,76,61,82,0,0,1,3,28,42,1,0,1,1
77,704365,55,1,5,6,12,3,7,6,2,3423,161,102,30,0,4,115,87,80,38,16,94,91,125,136,43,12,7884,219218,2,21,3,3,4,1,0,0,0,7,4,1,37,80,60,69,1,0,3,3,30,79,1,0,1,1
78,922352,58,0,5,2,10,9,15,7,6,5715,161,81,28,0,4,130,72,84,36,15,96,97,184,84,36,11,6794,363814,1,17,3,8,1,1,1,1,0,7,4,3,55,94,63,61,1,0,1,2,30,32,1,0,0,0
79,560337,59,1,2,8,18,7,11,4,3,7934,195,91,19,0,1,132,75,70,36,12,96,84,151,110,37,10,6760,248656,0,42,1,2,1,0,4,3,0,2,1,2,60,69,75,80,2,6,1,3,33,55,1,1,0,1
80,824839,49,0,2,9,21,3,21,1,4,6847,178,70,18,1,1,125,73,65,36,13,97,106,206,128,60,13,4952,288746,2,22,4,0,2,2,3,5,0,3,1,1,32,47,79,76,1,4,0,1,0,47,1,0,0,1
81,905889,58,0,1,9,15,12,17,5,4,6257,162,87,22,0,4,102,80,84,36,13,96,116,161,127,63,14,5873,234166,0,11,0,6,2,1,2,3,1,7,6,1,51,72,99,84,0,2,0,2,46,45,1,0,1,0
82,559773,47,1,3,3,7,10,0,1,5,2140,172,46,28,0,2,103,81,76,37,22,98,62,146,144,64,12,8032,305576,1,18,3,4,2,0,0,1,0,8,8,3,57,72,93,74,0,0,0,3,30,67,3,1,1,0
83,308261,62,1,4,1,27,7,14,2,5,4071,166,69,20,0,1,108,81,88,38,11,99,96,170,96,46,13,8857,244028,0,19,0,5,0,2,0,1,0,5,3,1,42,59,66,81,0,4,1,2,26,84,1,1,1,0
84,864469,64,0,3,1,16,5,17,1,2,6758,183,75,27,0,3,118,80,89,37,13,96,109,141,82,52,15,8078,267086,0,22,4,6,3,1,0,1,1,10,7,2,56,90,100,83,0,2,2,2,4,46,2,1,1,0
85,441097,59,0,1,5,25,12,21,2,1,3757,175,72,24,0,2,106,75,82,36,11,96,112,193,139,51,12,6184,244261,1,27,2,5,0,0,0,0,1,9,9,1,57,55,61,72,1,6,2,3,19,51,3,0,0,1
86,415139,51,1,4,5,26,4,9,7,4,7306,170,50,29,2,2,110,73,65,37,19,93,103,178,67,47,17,9121,356024,2,18,0,4,3,1,0,4,1,2,0,1,1,88,49,78,2,2,2,2,13,53,1,1,0,1
87,271829,71,0,2,1,12,10,0,7,6,9218,189,61,20,1,3,135,83,81,36,12,98,99,233,117,48,12,6377,253003,0,26,2,4,2,0,1,3,0,6,6,1,44,81,86,58,1,0,2,1,24,88,2,1,0,0
88,371836,56,0,2,5,5,2,5,3,4,3706,160,81,25,0,1,128,64,71,35,16,99,90,177,108,47,15,8203,277625,2,14,5,3,2,0,3,3,0,7,7,1,20,93,87,79,0,0,1,1,39,45,1,1,0,0
89,538974,57,1,4,4,17,8,23,4,6,5008,161,60,24,1,3,118,78,79,38,16,97,103,200,141,57,12,6244,196443,0,30,0,4,3,1,0,2,0,5,2,2,66,75,73,78,1,5,1,2,0,77,2,0,1,0
90,302283,87,1,1,4,29,7,23,6,1,5851,153,66,30,0,1,113,71,71,36,10,100,82,157,111,68,14,6038,219749,1,36,0,5,1,1,2,0,1,6,6,2,54,83,78,81,1,0,0,1,0,31,2,1,0,0
91,296769,70,1,4,1,7,7,1,7,5,6693,169,76,26,0,1,127,94,57,38,13,98,101,177,86,48,14,6792,204818,0,11,5,4,2,1,0,1,1,8,8,2,84,87,75,73,0,2,3,2,31,75,1,0,1,1
92,661353,59,1,1,5,21,3,5,5,3,8220,170,59,18,0,4,104,88,74,36,16,96,67,181,120,29,13,7027,197207,1,49,1,7,1,0,0,3,1,7,4,1,20,69,78,90,0,4,2,2,62,77,4,1,0,0
93,323165,54,0,3,3,4,12,14,3,3,5943,150,68,30,0,3,115,85,67,37,17,96,102,200,114,74,13,8359,247932,1,32,2,3,1,1,1,2,1,5,4,3,46,79,87,97,1,2,1,2,27,100,1,1,1,0
94,723587,49,1,2,5,27,8,3,6,3,2808,153,59,29,0,2,103,76,93,37,12,98,122,145,112,47,13,8407,303274,2,25,1,3,0,3,0,0,2,3,3,0,14,83,64,89,0,5,3,1,19,56,2,0,0,0
95,635822,68,0,4,8,22,8,9,1,2,7949,165,63,26,1,1,118,85,60,36,16,97,65,135,105,59,14,8348,322389,1,28,3,3,2,2,3,0,0,6,6,2,64,90,45,61,3,1,1,3,51,82,3,1,1,1
96,587879,50,1,1,9,18,2,7,7,5,5698,157,79,19,1,4,128,89,87,36,10,99,100,213,90,44,16,5315,289649,0,30,4,8,3,1,0,5,2,3,1,2,36,95,49,98,3,4,2,1,47,51,1,0,0,0
97,664685,56,1,1,3,9,1,8,5,4,4803,165,99,20,0,1,106,82,68,36,12,94,96,212,136,55,17,4972,246326,0,30,3,5,3,0,2,2,0,7,4,0,77,72,100,67,1,0,3,1,50,95,2,1,0,1
98,882038,57,1,5,8,15,2,16,6,5,3159,154,65,25,0,3,115,81,64,37,23,96,109,224,70,46,15,7627,179926,1,26,2,5,2,0,0,0,0,7,6,2,57,77,94,98,1,4,1,1,22,36,2,0,0,1
99,453531,51,1,1,2,2,7,21,6,6,6526,162,84,20,0,3,123,88,76,37,12,96,138,180,99,65,13,7044,251296,0,21,2,3,0,1,1,2,0,7,6,3,45,84,76,70,0,3,2,3,0,70,1,0,0,1
100,363160,64,1,2,8,29,10,20,3,6,4702,169,59,29,1,1,114,93,80,37,11,96,82,144,124,41,14,6284,327652,0,23,5,4,1,0,1,2,1,6,5,1,61,59,97,82,0,0,1,1,41,81,4,0,1,0
101,679879,75,1,2,2,25,11,10,5,5,4892,167,71,25,1,4,101,84,95,37,17,96,138,184,91,43,12,7717,196574,0,28,3,4,1,2,3,2,0,3,0,2,21,84,50,88,1,1,2,2,26,77,2,0,0,1
102,320884,49,0,3,1,9,3,15,7,1,1259,164,86,20,1,3,105,68,66,36,15,97,122,164,108,45,14,5295,237867,0,33,7,7,1,0,1,3,0,5,2,2,35,100,53,62,2,1,0,3,0,22,1,1,0,1
103,123247,69,0,5,4,3,8,17,2,5,1314,165,90,20,1,4,108,80,68,37,19,98,131,179,108,43,14,7728,265224,0,28,3,5,2,1,0,2,0,6,3,1,43,68,35,81,1,3,0,1,40,134,2,0,0,1
104,124300,56,0,1,3,27,7,0,2,5,5707,166,49,20,0,3,105,82,60,37,13,97,131,209,82,33,16,6485,201756,0,36,1,0,2,1,0,2,0,4,1,1,68,89,69,89,1,0,2,1,41,10,1,1,1,1
105,567281,69,0,5,7,20,7,23,5,1,4841,173,65,19,1,2,133,69,87,36,12,95,100,148,119,66,13,7362,281088,0,26,6,2,2,0,0,2,1,4,4,0,65,59,86,75,1,0,2,3,46,35,2,1,1,0
106,707086,48,1,1,8,11,5,6,4,2,7863,169,80,18,0,2,90,96,60,38,16,97,66,214,101,47,15,7992,211642,1,10,2,9,2,2,1,0,1,5,3,3,64,89,47,58,1,1,1,1,27,42,1,0,1,1
107,633556,43,1,3,1,10,5,16,4,3,5732,153,64,25,1,2,96,76,69,38,13,97,97,199,97,64,14,7629,305513,1,28,4,5,0,1,0,2,2,2,1,0,11,74,68,85,0,0,3,1,0,84,1,1,0,1
108,448951,51,1,5,7,9,12,21,1,6,5444,165,45,24,0,4,143,79,84,38,16,98,73,230,100,54,13,7582,165942,0,21,1,7,2,0,0,4,2,5,5,0,29,69,67,90,0,1,3,2,22,69,1,1,0,1
109,374329,66,0,3,1,7,10,11,4,1,5986,161,48,26,1,1,137,73,78,38,16,100,113,150,89,43,10,7325,272374,1,14,0,7,2,1,0,0,0,3,2,0,94,92,64,86,0,4,1,2,41,60,1,1,1,1
110,819064,59,0,4,9,23,10,15,7,2,7578,170,77,31,0,2,105,64,74,35,12,96,87,189,100,44,13,7382,248172,3,42,5,4,2,0,1,2,0,5,2,4,53,98,75,62,0,0,2,2,46,56,2,1,0,0
111,842139,66,1,1,6,24,9,23,4,4,725,173,57,16,0,2,112,82,68,37,16,94,111,199,115,43,13,6251,180511,0,17,4,6,2,1,1,3,3,5,3,2,45,74,48,80,2,2,1,1,9,35,3,1,1,0
